"Date","Participant","Membres qui ont publié ou commenté","Vu","Publications","Commentaires","Réactions","","","","","","","","","","","","","","","","","",""
"Mercredi","5","1","1","2","1","3","8","9","9","8","10","34","24","19","14","18","15","20","20","18","20","14","16","8"
"Jeudi","6","1","1","1","2","1","8","12","11","9","14","8","15","9","9","10","13","16","16","9","11","12","12","9"
"Vendredi","7","2","1","1","2","2","3","8","8","10","10","5","12","19","35","20","18","26","59","29","32","27","24","25"
"Samedi","10","5","8","2","3","4","9","22","38","31","32","31","28","30","28","20","27","21","35","34","31","15","13","8"
"Dimanche","4","3","1","1","1","1","4","20","9","13","16","11","27","22","16","19","18","18","16","20","16","14","13","9"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Meilleures publications","Membre","Commentaires","Réactions","Vues","Lien","","","","","","","","","","","","","","","","","","",""
"🌊 CAP DES 65 000 AMOUREUX ATTEINT ! 🌊

​C'est une immense fierté de voir notre communauté grandir avec autant de passion.

Aujourd'hui, nous avons officiellement dépassé les 65 000 membres réunis par un seul et même amour : celui de notre littoral, de Marseille à Port-Cros.

​Ce chiffre n'est pas qu'une statistique, c'est le reflet d'un engagement collectif pour la beauté et la préservation de nos joyaux méditerranéens.

Pour marquer le coup et célébrer cette magnifique étape ensemble, je vous partage quelques clichés de la majestueuse calanque de Sormiou hier en fin d’aprés-midi ! 💙

​Un grand merci @[10229595017602355:49210:@tout le monde]  pour :

- ​Vos partages de clichés magnifiques 📸
- ​Votre bienveillance dans les échanges 🤝
- ​Votre vigilance pour la protection de ce sanctuaire bleu 🐟🐙🪼🪸

​Continuez à faire vivre ce groupe par vos pépites visuelles et votre respect de la nature. 

Ensemble, nous sommes la plus belle sentinelle de nos Calanques !

​L'aventure continue... En route vers les 70 000 ? 🚀

​#Marseille #Calanques #PortCros #Méditerranée #PassionNature #65K","Ka Rim","42","217","2497","https://www.facebook.com/groups/calanque/posts/4206916409562755/","","","","","","","","","","","","","","","","","","",""
"ma calanque préférée 
En Vau","Hachem Touleimat","12","366","17317","https://www.facebook.com/groups/calanque/posts/4203489363238793/","","","","","","","","","","","","","","","","","","",""
"⚠️ Le temps passe, la pollution reste ⏳

​Depuis le 19 mars, cette Fiat 500 accidentée gît au fond de l'eau aux Goudes, à Marseille. Plus de deux mois d'inaction totale pendant que l'assurance reste sourde.

​Sous la surface, le constat est amer : les plastiques s'effritent, les câbles se dégradent, et la faune marine est forcée de s'adaptée à nos déchets. On voit déjà les poissons s'approprier les sièges...

​Deux mois pour sortir une voiture de l'eau, c'est deux mois de trop pour notre Méditerranée 🪼🐙🐟

@[10229595017602355:49210:@tout le monde] 
​#Marseille #LesGoudes #Calanques #PollutionMarine #Inaction","Ka Rim","36","223","7281","https://www.facebook.com/groups/calanque/posts/4216645958589800/","","","","","","","","","","","","","","","","","","",""
"la beauté de la calanque d’En Vau","Hachem Touleimat","7","326","8152","https://www.facebook.com/groups/calanque/posts/4198460370408359/","","","","","","","","","","","","","","","","","","",""
"Le belvédère d'En Vau 🥾🦋🏖️ 😍","Elsa GP","16","185","9467","https://www.facebook.com/groups/calanque/posts/4205330529721343/","","","","","","","","","","","","","","","","","","",""
"la #terrassedemidi à 13h30 hier pour un pic nic avec une p'tite vue assez sympa 🤗🤩","Jean-Phi Di Marsiglia","25","130","3515","https://www.facebook.com/groups/calanque/posts/4218624855058577/","","","","","","","","","","","","","","","","","","",""
"Comment accéder à la calanque de Port pin à pied en venant du centre de Cassis la semaine prochaine (bus, navette )? Merci","Poupoune Pou","31","65","7937","https://www.facebook.com/groups/calanque/posts/4207306316190431/","","","","","","","","","","","","","","","","","","",""
"l’une de nos calanques magnifique 
Sormiou
☀️🏔️🌳🌊
Bonne journée","Hachem Touleimat","3","204","5881","https://www.facebook.com/groups/calanque/posts/4216757218578674/","","","","","","","","","","","","","","","","","","",""
"Rando Gineste -> col de la Candelle et retour par le balcon du Président et le sentier du Centaure 🥾🪻🤩","Elsa GP","10","165","4082","https://www.facebook.com/groups/calanque/posts/4213281522259577/","","","","","","","","","","","","","","","","","","",""
"Aujourd’hui ma première balade à la Calanque de Sugiton. C’etait magnifique! (J’en ai oublié mon sweat noir avec zip et capuche si quelqu’un peut le rapporter en ville 😅).","Christelle Dumontet","10","165","9382","https://www.facebook.com/groups/calanque/posts/4216184141969315/","","","","","","","","","","","","","","","","","","",""
"Petite rando du jour par le col des Baumettes jusqu’à Sormiou 🌿☀️
On a beau connaître les calanques, il y a toujours ce moment où la vue apparaît et où on se dit : waouh 💙","Jenny Garet","22","99","3235","https://www.facebook.com/groups/calanque/posts/4216070561980673/","","","","","","","","","","","","","","","","","","",""
"Bonjour à tous,
J'aimerais vos conseils 

J'aimerais  faire une randonnée des calanques d en Vau la plus facile avez des recommandations et sentiers a me conseiller 

J ai regarde et trouver cet itinéraire mais peut-être avez vous d' autres recommandations 

Je vous remercie 

Belle journée","Mary Ruiz","28","33","3402","https://www.facebook.com/groups/calanque/posts/4210258519228544/","","","","","","","","","","","","","","","","","","",""
"Bonjour,
En vacances sur Marseille, je voudrais faire la boucle sugiton- morgiou depuis Luminy. Je vois des commentaires (sur Visorando) disant qu'il y a des passages dangereux entre les 2 calanques. Qu'est ce qu'il en est réellement ? Est-ce qu'un sens sugiton-morgiou ou le contraire est à privilégier ?

Merci pour vos conseils","Isabelle Dufau","29","27","3173","https://www.facebook.com/groups/calanque/posts/4201249273462802/","","","","","","","","","","","","","","","","","","",""
"J’aimerais bien qu’ils viennent m’aborder….","Bruno Saurez","18","55","7674","https://www.facebook.com/groups/calanque/posts/4212838662303863/","","","","","","","","","","","","","","","","","","",""
"","Philippe Belletoise","3","119","6504","https://www.facebook.com/groups/calanque/posts/4212292985691764/","","","","","","","","","","","","","","","","","","",""
"Sur le doigt de dieu !","Julien Carraccino","3","118","3450","https://www.facebook.com/groups/calanque/posts/4202511893336540/","","","","","","","","","","","","","","","","","","",""
"la beauté de la calanque de Sugiton
Bonne journée à vous","Hachem Touleimat","2","112","3471","https://www.facebook.com/groups/calanque/posts/4221869661400763/","","","","","","","","","","","","","","","","","","",""
"Bonjour tout le monde ! Je veux simplement me présenter et partager une photo que j’ai prise lors d une rando de Marseille à cassis l’année dernière 
Je suis preneuse pour partager des randos dans ce magnifique parc avec d’autres personnes du groupe 😊","Céline Mula","9","66","1801","https://www.facebook.com/groups/calanque/posts/4198351507085912/","","","","","","","","","","","","","","","","","","",""
"Entre Sormiou et Morgiou .","Atman Namta","2","100","10280","https://www.facebook.com/groups/calanque/posts/4197543293833400/","","","","","","","","","","","","","","","","","","",""
"Bonjour, 
Pouvez vous me dire où il faut se garer ( l'adresses)pour faire la rando et descendre jusque Sormiou svp. Merci.","Dora Hawaux","16","29","2328","https://www.facebook.com/groups/calanque/posts/4200630780191318/","","","","","","","","","","","","","","","","","","",""
"Calanque de Figuerolles...","Liza Casper","2","99","4275","https://www.facebook.com/groups/calanque/posts/4197783733809356/","","","","","","","","","","","","","","","","","","",""
"⚠️ Accès calanques 👇👇👇

https://www.laprovence.com/article/societe/3544138644210814/sormiou-morgiou-et-callelongue-les-voitures-et-motos-interdites-d-acces-aux-calanques-des-ce-week-end-de-l-ascension","Ka Rim","6","76","9151","https://www.facebook.com/groups/calanque/posts/4209177772669952/","","","","","","","","","","","","","","","","","","",""
"Bonjour  à  toutes et tous..voici la grotte  semi immergée  de grand mejean..prenez  soin de vous","Rini Septiani","0","99","8899","https://www.facebook.com/groups/calanque/posts/4199351500319246/","","","","","","","","","","","","","","","","","","",""
"Le Samedi 25/4","Bob Spear","4","78","1634","https://www.facebook.com/groups/calanque/posts/4198437383743991/","","","","","","","","","","","","","","","","","","",""
"📢 **NETTOYONS LE SUD : Grand coup de propre ce samedi à la Pointe Rouge !** ☀️🌊

Ce **samedi 30 mai**, c'est la grande mobilisation régionale **""Nettoyons le Sud""** !

Cette année, nous serons avec le collectif d'associations réuni par les copains de **Mer veille** (avec l'YCPR, @[100050813381866:2048:Association Boud'mer], @[100063569305209:2048:Team Oxygen] et les @[100009766959053:2048:Ava Vallon des Auffes]) pour une grosse opération de dépollution dans le port de la **Pointe Rouge**.

🤝 ON A BESOIN DE BRAS À TERRE ! 👋

Pendant que les plongeurs et apnéistes s'occuperont de vider les fonds du port (jusqu'à 6m), **le succès de la journée repose sur l'équipe à terre !**

Nous avons un besoin crucial de bénévoles pour :
* Réceptionner les déchets sortis de l'eau 🧺
* Assurer le tri et la caractérisation 📊
* Aider à l'évacuation 🚛

Pas besoin de mouiller le maillot pour être utile, votre aide à terre est indispensable !

📍 INFOS PRATIQUES :
* **Quand ?** Ce samedi 30 mai à **14h00**
* **Où ?** Au Yachting Club Pointe Rouge (YCPR) – **Panne n°8**
* *Déroulé : Briefing à 14h30 – Fin d'après-midi.*

@tout le monde

Mobilisons-nous en nombre pour préserver notre littoral marseillais. On compte sur vous ! 💙

#NettoyonsLeSud #TeamOxygen #MerVeille #Marseille #PointeRouge #LesAmoureuxDesCalanques","Ka Rim","6","67","2210","https://www.facebook.com/groups/calanque/posts/4222707164650346/","","","","","","","","","","","","","","","","","","",""
"Vue magique sur la calanque de Sormiou 
Bonne journée à vous 
☀️🌊🌳🏔️","Hachem Touleimat","2","83","1782","https://www.facebook.com/groups/calanque/posts/4216314941956235/","","","","","","","","","","","","","","","","","","",""
"# ***Allez rêvez c'est pour vous !***
# ***Petit cadeau pour le groupe !***
# ***Mes photos d'archives ! les Calanques de Marseille !***
# ***bonne vision !***
# ***Amitiés A++ ROBERT le C@l@nqu@is DE MARSEILLE !  😀***","Robert Nastro","7","57","1320","https://www.facebook.com/groups/calanque/posts/4214127142175015/","","","","","","","","","","","","","","","","","","",""
"sentier panoramique 
Direction calanque d’En Vau","Hachem Touleimat","1","85","2745","https://www.facebook.com/groups/calanque/posts/4202397723347957/","","","","","","","","","","","","","","","","","","",""
"","Sylvie Desire","0","89","2704","https://www.facebook.com/groups/calanque/posts/4218787381708991/","","","","","","","","","","","","","","","","","","",""
"Hier, j'ai eu la chance d'organiser une randonnée inoubliable vers Sormiou, avec une équipe exceptionnelle. 13,5 kilomètres, un dénivelé de 550 mètres, et chaque montée, chaque descente, étaient un pur bonheur. Merci à toute cette team qui a été présente pour cet événement, avec des fous rires, des moments de solidarité, et des vues incroyables sur la mer. Ce parcours, c'est bien plus qu'une sortie, c'est une aventure qu'on aura envie de revivre, encore et encore, avec cette superbe team, toujours prête à relever de nouveaux défis . ☺️","Laurent Ayoun Cohen","1","83","4913","https://www.facebook.com/groups/calanque/posts/4198705323717197/","","","","","","","","","","","","","","","","","","",""
"Bonjour est ce quelqu'un connaîtrait un plan des calanques avec les sentiers dessinés de couleur différente (comme par exemple les pistes de ski)

Merci","Vincent Baradel","13","20","1770","https://www.facebook.com/groups/calanque/posts/4201923873395342/","","","","","","","","","","","","","","","","","","",""
"","Philippe Belletoise","3","70","1623","https://www.facebook.com/groups/calanque/posts/4212292799025116/","","","","","","","","","","","","","","","","","","",""
"Malade
Petite sortie matinale belle journée à tous!","Adrien VieNature","6","54","2464","https://www.facebook.com/groups/calanque/posts/4224577361129993/","","","","","","","","","","","","","","","","","","",""
"Le belvédère d’En-Vau peut être un objectif de randos plus ou moins longues et plus ou moins difficiles en fonction du point de départ choisi mais c’est toujours un enchantement de venir se poser sur ces rochers qui dominent l’une des plus belles calanques de Marseille 💙.","Les Randos de Loulou","3","67","3407","https://www.facebook.com/groups/calanque/posts/4212204869033909/","","","","","","","","","","","","","","","","","","",""
"Ce matin, Riou avait revêtu sa parure d’or 😍.
Un moment magique où les premiers rayons de soleil illuminent le calcaire immaculé des falaises de l'île.
Il faut se lever un peu tôt pour profiter du spectacle mais ça vaut le coup 😉.","Les Randos de Loulou","6","49","1887","https://www.facebook.com/groups/calanque/posts/4218828891704840/","","","","","","","","","","","","","","","","","","",""
"La grotte de l'ours et le Pas de la Demi-Lune depuis Callelongue 👌","Elsa GP","3","61","2723","https://www.facebook.com/groups/calanque/posts/4209894369264959/","","","","","","","","","","","","","","","","","","",""
"","Rose Lafuente","3","51","1430","https://www.facebook.com/groups/calanque/posts/4219871511600578/","","","","","","","","","","","","","","","","","","",""
"🪺 Bonne fête à toutes les mamans du Groupe des Amoureux des Calanques ! 💙

​En ce jour si particulier, un clin d'œil à toutes les mères, y compris celles de notre faune locale qui veillent sur leurs petits au cœur de nos falaises et de nos îles. 

À l'image de nos gabians attentifs sur l'archipel du Frioul, la nature nous offre les plus beaux exemples de protection et de transmission. 🌊✨

​Une pensée chaleureuse à toutes les mamans passionnées par notre littoral. Passez une magnifique journée ! ☀️🌿

​#fetedesmeres #calanques #marseille #frioul #nature #wildlife @[10229595017602355:49210:@tout le monde]","Ka Rim","6","34","1039","https://www.facebook.com/groups/calanque/posts/4225115367742859/","","","","","","","","","","","","","","","","","","",""
"Randonnée dans nos merveilleuses Calanques ce vendredi. Comme à chaque sortie, on en prend plein les yeux 🤩, un pur bonheur à savourer sans modération 😉.","Les Randos de Loulou","7","27","1877","https://www.facebook.com/groups/calanque/posts/4204231163164613/","","","","","","","","","","","","","","","","","","",""
"Dormir tranquille en solitaire dans les calanques !! 🤣🤣🤣","Les Randos de Loulou","4","39","2598","https://www.facebook.com/groups/calanque/posts/4218556711732058/","","","","","","","","","","","","","","","","","","",""
"Bonjour.
Cassis , le bout de la presqu'île et l'entrée de Port Miou.

(Un petit clic pour voir la photo entièrement 😉)","Tarek Askri","0","59","8956","https://www.facebook.com/groups/calanque/posts/4196312213956508/","","","","","","","","","","","","","","","","","","",""
"Petite rando demain matin secteur Marseille Luminy pour un beau paysage mer ?
Qui me suit ?","Jee Herr","6","28","4645","https://www.facebook.com/groups/calanque/posts/4203265743261155/","","","","","","","","","","","","","","","","","","",""
"Bonjour a tout le monde
Petite question pourtant simple mais je n'arrive pas a trouver un site internet clair sur la rando et l'itineraire.

je souhaites aller a la calanque de sormiou ( a la plage tout simplement ) en passant par les baumettes ( arret de bus 22 )

tout les sites donnent environ 1h pour la mini rando, mais tres peu clair au niveau de la difficulté, et du trajet qui a l'air plutot tres visible par endroit et moins par d'autres.

Qu'en pensez vous ? avez vous un lien avec un itineraire precis ? 

Apparement il est possible de rejoindre la route en bitume qui dessens de sormiou ?

merci d'avance","Bruno Nonau","9","10","1124","https://www.facebook.com/groups/calanque/posts/4215996898654706/","","","","","","","","","","","","","","","","","","",""
"Petit tour dans le jardin ce matin ☀️","Adrien VieNature","0","53","2199","https://www.facebook.com/groups/calanque/posts/4201009873486742/","","","","","","","","","","","","","","","","","","",""
"La Lèque.","Atman Namta","0","49","2803","https://www.facebook.com/groups/calanque/posts/4210191842568545/","","","","","","","","","","","","","","","","","","",""
"La nouvelle Calanque de Samena après le travaux mais il vas mettre des végétaux en automne. Qu’est-ce que vous pensez?","Bob Spear","1","44","5269","https://www.facebook.com/groups/calanque/posts/4194638387457224/","","","","","","","","","","","","","","","","","","",""
"🌄🏃‍♂️ TRAIL ÉPIQUE DANS LES CALANQUES DE MARSEILLE🏃‍♂️🌊 (video & photo)
Réveil à 6h00 ce matin… direction le parc Pastré pour un départ à 6h42 🔥

Une météo parfaite : quelques nuages ☁️, un léger vent 🌬️ et surtout ce silence magique des Calanques au lever du jour.

Objectif du jour : une grosse boucle trail au cœur des Calanques de Marseille 💪⛰️

Le parcours commence tranquillement en passant devant la magnifique grotte Roland 🪨 avant d’attaquer les premières montées vers le Pas de la Selle culminant à 282 mètres d’altitude.

Et là… les jambes commencent déjà à chauffer 🔥😅

Mais une fois en haut… quelle récompense 🤩

Vue incroyable sur l’Escale Borély 🌴, la Méditerranée 🌊 et l’île Jarre au loin.

Franchement, courir dans un décor pareil… c’est du pur bonheur ❤️

Ensuite, énorme descente par le vallon nord et le sentier de Malvallon 🏞️

Un terrain magnifique, technique mais idéal pour profiter pleinement du trail en sécurité.

Passage devant la basse grotte du Plan des Cailles avant de rejoindre cette vallée incroyable entre montagne et mer 😍

Chaque foulée donne une sensation de liberté totale 🙌

Arrivée ensuite au carrefour près de “Chez le Belge”, à la calanque de Marseilleveyre, avant de prendre à gauche sur le célèbre sentier des douaniers 🥾 avec un enchaînement de paysages exceptionnels :

📍 Calanque des Queyrons

📍 Calanque Podestat

📍 Calanque de la Piade

📍 L’Anse du Livre

📍 Calanque du Grand Livre

📍 Calanque de l’Escu

Ensuite montée vers le col de Cortiou puis direction l’arête jusqu’au Signal Est de l’Homme Mort 🦅

Un panorama juste monumental 🤯🔥

Petite portion d’escalade 🧗‍♂️ sans trop de difficulté avant d’arriver sur les plateaux de l’Homme Mort.

Attention tout de même à la descente ⚠️ : terrain caillouteux et glissant, il faut rester concentré sur ses appuis.

Passage devant la magnifique fontaine de Voire 💧

Le lieu est splendide, mais l’eau n’est pas potable 🚫

Retour ensuite par le vallon de la Jarre via le sentier du Club Alpin avant de boucler cette aventure au parc Pastré 🔄

📊 PERFORMANCE DU JOUR 📊

🏃‍♂️ Distance : 15,96 km

⏱️ Temps total : 4h02m59

⛰️ Dénivelé positif : 987 m

📉 Dénivelé négatif : 1016 m

🔥 Calories brûlées : 2651 kcal

⚡ Vitesse moyenne : 3,9 km/h

🚀 Vitesse max : 9,8 km/h

💧 Déshydratation estimée : 3549 ml

Une sortie intense, exigeante, mais tellement magnifique 🙏🔥

Le trail, ce n’est pas seulement courir.

C’est découvrir, respirer, repousser ses limites et se sentir vivant 💯

Peu importe votre niveau, avancez toujours à votre rythme.

Chaque pas vous rapproche d’une meilleure version de vous-même 💪❤️

#TrailRunning #Calanques #Marseille #RunningMotivation #OutdoorLife","Jeff Ruissaut","3","32","2528","https://www.facebook.com/groups/calanque/posts/4208456586075404/","","","","","","","","","","","","","","","","","","",""
"Merci pour l'acceptation, Aurélie je vis à Marseille 9ème, amoureuse de la nature et surtout de nos calanques qui est devenu depuis plus de 20 ans mon air de jeux, de détente. Je serais ravie de partager des balades avec vous et pourquoi pas en découvrire de nouvelles. Bon dimanche.","Aurélie Sabre","4","26","4235","https://www.facebook.com/groups/calanque/posts/4196288787292184/","","","","","","","","","","","","","","","","","","",""
"# ***Allez rêvez c'est pour vous !***
# ***Petit cadeau pour le groupe !***
# ***Mes photos d'archives ! les Calanques de Marseille !***
# ***bonne vision !***
# ***Cordialement ! Robert Nastro dit Robert le C@l@nqu@is !***","Robert Nastro","2","36","1026","https://www.facebook.com/groups/calanque/posts/4203839813203748/","","","","","","","","","","","","","","","","","","",""
"Hello le groupe ! 👋🏽
Belvédère et calanque de Sugiton, calanque de Morgiou et passage devant la Anse de la Triperie.

🌞🤩🥵💛🌡️🌊💙🐗😅✌🏽","Marine Boudier","4","25","838","https://www.facebook.com/groups/calanque/posts/4224171157837280/","","","","","","","","","","","","","","","","","","",""
"","Atman Namta","5","19","251","https://www.facebook.com/groups/calanque/posts/4197543283833401/","","","","","","","","","","","","","","","","","","",""
"Bonjour 👋
J’aimerais venir cet été dans les calanques vers Marseille pour faire du paddle pour la première fois 😊

Je cherche un camping sympa, pas trop loin des calanques et pratique pour accéder facilement aux spots de paddle.

Si vous avez des campings, adresses, coins sympas ou même des conseils à me recommander, je suis preneur 🙌

Merci d’avance !","Wael Al","7","7","2319","https://www.facebook.com/groups/calanque/posts/4204254156495647/","","","","","","","","","","","","","","","","","","",""
"","Philippe Belletoise","1","37","1205","https://www.facebook.com/groups/calanque/posts/4212294035691659/","","","","","","","","","","","","","","","","","","",""
"Derniers rayons sur la #Calanque de Sormiou 🌞","Ka Rim","1","37","1005","https://www.facebook.com/groups/calanque/posts/4218648041722925/","","","","","","","","","","","","","","","","","","",""
"Nous avons la chance de vivre à proximité de paysages exceptionnels. À nous d’en prendre soin pour que chacun puisse continuer à en profiter dans le respect de ce site unique.

Encore une belle journée aujourd’hui dans les Calanques🩵☀️","Jenny Garet","0","40","2559","https://www.facebook.com/groups/calanque/posts/4224979954423067/","","","","","","","","","","","","","","","","","","",""
"🟢 C’est ce matin !

​Premier grand nettoyage du Vallon ! Un immense plaisir de voir autant de forces réunies pour préserver ce joyau marseillais 🫶

​Aux côtés de @[100009766959053:2048:Ava Vallon des Auffes] , @[100050813381866:2048:Association Boud'mer] , @[100070130822703:2048:1 Déchet Par Jour / 1 Piece of Rubbish] , @[100064382844063:2048:Mer Veille] , @[100063821353170:2048:Recyclop - un oeil sur la planète], @[100063569305209:2048:Team Oxygen] et de nombreux bénévoles, nous passons à l’action. Sous l'eau ou sur les quais, chaque geste compte. 🤿🌏♻️

@[10229595017602355:49210:@tout le monde] 
​#Marseille #Environnement #VallonDesAuffes #Depollution #Engagement","Ka Rim","1","35","3720","https://www.facebook.com/groups/calanque/posts/4197120803875649/","","","","","","","","","","","","","","","","","","",""
"","Michele Gaugler","1","35","1628","https://www.facebook.com/groups/calanque/posts/4205806483007081/","","","","","","","","","","","","","","","","","","",""
"🟢 Incroyable !
#Calanque de Niolon 🐢💚","Ka Rim","0","40","1264","https://www.facebook.com/groups/calanque/posts/4218967041691025/","","","","","","","","","","","","","","","","","","",""
"Promenade à la calanque de sormiou","Valentin Courty","1","34","2001","https://www.facebook.com/groups/calanque/posts/4200366450217751/","","","","","","","","","","","","","","","","","","",""
"Une jolie boucle au départ du parc des bruyères ! Une partie du @[100064406302589:2048:Parc national des Calanques] que je découvre avec une vue imprenable sur la ville ✨️","Ka Rim","2","27","1126","https://www.facebook.com/groups/calanque/posts/4221108521476877/","","","","","","","","","","","","","","","","","","",""
"Vers 1900, le pas de l'Oeil de verre.","Les naturistes phocéens","1","32","5964","https://www.facebook.com/groups/calanque/posts/4196357407285322/","","","","","","","","","","","","","","","","","","",""
"Elle était Magnifique notre #calanque de Morgiou en 1920 🤩

Merci @[100064681360069:2048:Les Calancoeurs] pour cette pépite ✨️","Ka Rim","1","31","1059","https://www.facebook.com/groups/calanque/posts/4214030578851338/","","","","","","","","","","","","","","","","","","",""
"Nos belles #calanques de l’espace 🪐🗼","Ka Rim","0","35","1245","https://www.facebook.com/groups/calanque/posts/4212761875644875/","","","","","","","","","","","","","","","","","","",""
"CALANQUE Des FIGUIÈRES  Au Cœur De La CÔTE BLEUE ➡️ grand écran. Matin du 28 Mai","Robert Donati","0","34","1143","https://www.facebook.com/groups/calanque/posts/4221798128074583/","","","","","","","","","","","","","","","","","","",""
"# ***Allez rêvez c'est pour vous !***
# ***Petit cadeau pour le groupe !***
# ***Le cap Morgiou ! les Calanques de Marseille !***
# ***bonne vision !***
# ***Amitiés A++ ROBERT le C@l@nqu@is DE MARSEILLE !  😀***","Robert Nastro","3","18","993","https://www.facebook.com/groups/calanque/posts/4222658234655239/","","","","","","","","","","","","","","","","","","",""
"","Dini Novita Sari","0","30","1552","https://www.facebook.com/groups/calanque/posts/4218653715055691/","","","","","","","","","","","","","","","","","","",""
"Côte bleue… espace naturel et de découverte… un littoral varié entre anses et calanques…","Christophe Santé Provence","0","30","6773","https://www.facebook.com/groups/calanque/posts/4204996159754780/","","","","","","","","","","","","","","","","","","",""
"Sunset ventu …","Adrien VieNature","0","29","998","https://www.facebook.com/groups/calanque/posts/4209381875982875/","","","","","","","","","","","","","","","","","","",""
"☀️⛴️🐟🙌🏻","Stf Estoupan","0","28","657","https://www.facebook.com/groups/calanque/posts/4218340041753725/","","","","","","","","","","","","","","","","","","",""
"","Philippe Dufau","3","13","1148","https://www.facebook.com/groups/calanque/posts/4213056862282043/","","","","","","","","","","","","","","","","","","",""
"# ***Pour le groupe !***
# ***Les Calanques un jardin de fleurs !***
# ***a++ Robert le C@l@nqu@is !***","Robert Nastro","0","27","834","https://www.facebook.com/groups/calanque/posts/4207923772795352/","","","","","","","","","","","","","","","","","","",""
"","Michele Gaugler","2","17","1093","https://www.facebook.com/groups/calanque/posts/4206775576243505/","","","","","","","","","","","","","","","","","","",""
"CÔTE BLEUE: visiter les grottes littorales … toujours intrigantes avec des histoires singulières… une belle idée de balades curieuses sur la côte bleue …","Albert Snop","0","27","2373","https://www.facebook.com/groups/calanque/posts/4219728384948224/","","","","","","","","","","","","","","","","","","",""
